epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2542.38,1.23119,0.74062,0.96332,0.81733,0.65118,0.72477,0.41144,1.39837,0.82038,1.00598,0.0059905,0.0059905,0.0059905
83,2571.96,1.22644,0.73971,0.95838,0.83004,0.65021,0.72722,0.40941,1.40994,0.81667,1.00915,0.005941,0.005941,0.005941
84,2601.62,1.22909,0.75284,0.96523,0.82988,0.64724,0.72634,0.40586,1.418,0.82489,1.00912,0.0058915,0.0058915,0.0058915
85,2631.15,1.23481,0.75051,0.96404,0.80827,0.64848,0.72755,0.40954,1.40251,0.81271,1.00326,0.005842,0.005842,0.005842
86,2660.61,1.22567,0.73472,0.96151,0.82461,0.64693,0.73192,0.41485,1.39869,0.80177,1.00608,0.0057925,0.0057925,0.0057925
87,2690.25,1.2194,0.73399,0.96176,0.82022,0.64157,0.72754,0.41038,1.40487,0.81573,1.00668,0.005743,0.005743,0.005743
88,2719.67,1.22128,0.74146,0.96305,0.82901,0.65658,0.73509,0.41472,1.40836,0.80668,1.00565,0.0056935,0.0056935,0.0056935
89,2749.47,1.2082,0.71919,0.95711,0.83634,0.64424,0.73471,0.41873,1.40859,0.8109,1.00971,0.005644,0.005644,0.005644
90,2778.86,1.21783,0.72799,0.96499,0.82956,0.64961,0.73277,0.41785,1.40223,0.80469,1.00512,0.0055945,0.0055945,0.0055945
91,2808.36,1.20238,0.72066,0.95207,0.83851,0.64413,0.73124,0.41562,1.41009,0.81023,1.00726,0.005545,0.005545,0.005545
92,2837.66,1.18872,0.71207,0.95168,0.84645,0.63875,0.73046,0.41644,1.39417,0.80522,1.00921,0.0054955,0.0054955,0.0054955
93,2867.37,1.18942,0.71827,0.9522,0.81989,0.6418,0.7244,0.41324,1.40611,0.81196,1.01261,0.005446,0.005446,0.005446
94,2896.81,1.20049,0.73372,0.95829,0.83549,0.64309,0.72985,0.41587,1.39865,0.79621,1.00462,0.0053965,0.0053965,0.0053965
95,2926.29,1.20318,0.72142,0.95908,0.81745,0.65716,0.73413,0.41668,1.40688,0.79285,1.00738,0.005347,0.005347,0.005347
96,2956.16,1.197,0.71059,0.95069,0.81753,0.65322,0.73409,0.41852,1.39873,0.79091,1.00203,0.0052975,0.0052975,0.0052975
